Hash,File,Key,Value
59e5fcee4bc6f80e22645e85c06f20d685fbe2ca6f3cb82d993eff8e6d68cf7d,Launcher\Launcher.xaml,Launcher.ExitIcon,Exit.ico
bfbdbf5e4decf394240f4321e63e865f09b4238fcc325483c57f8f57bbb3d288,Launcher\Launcher.xaml,Launcher.FeedbackIcon,Sent.ico
e713f72955dce602742bc71a4ae95990e284e08dc5ea0baefdb0e91789730e51,Launcher\Launcher.xaml,Launcher.TrayIcon,TrayIcon.ico
d1b2e43827a301cce37b27730e80f931498438e9c3502b76c419afebe1cdddee,Launcher\Launcher.xaml,Launcher.UpdateIcon,Reload.ico
3a8750fa92580d9e8aa7aebc24c99a567974ce74dd760d1409b28862f5daf117,Launcher\Launcher.xaml,Launcher.ReportIcon,TestTube.ico
8ca6f85fac7e5011136ac84a8bd33943e68732c9f4e6a5b79a3327da4ef53508,Launcher\Launcher.xaml,Launcher.WallReloadIcon,Fire.ico
5ee38225eb974185ca5ee308def05f860e393434f8bfdd346a07e5ae9f2919a8,Launcher\Launcher.xaml,Launcher.WallOpenIcon,LightOn.ico
41ab125dcc746fc675b280d612d11cd1e58eb441525560cf25822c389589b315,Launcher\Launcher.xaml,Launcher.WallChangeIcon,Change.ico
4ebd04fe16f60453f514124dc1fbc1cc5648a90dd4aaa4f70e35df9bce411bc8,Launcher\Launcher.xaml,Launcher.WallCloseIcon,LightOff.ico
56552d5a62a3bc618ded6c3e01527f7e5d9b5450616c76915fa934bed0e6fc72,Launcher\Launcher.xaml,Launcher.SettingIcon,Engineering.ico
2fd5edb5d454c691a1a39bb0849466bf45df756469f269bae6833712720cc0b6,Launcher\Launcher.xaml,Launcher.OpenIcon,DashboardLayout.ico
611581a2c3a13b3aa66d58db1b5ced5c3a3daeb772c120d52c7f3da4b58ac6d0,Launcher\Launcher.xaml,Launcher.WallCustomizeIcon,ColorPalette.ico
62f8691ab0a8ec1c2626c8e15f5fafbf4f671b4fe8d75d04d7f1198b3f6c1418,Launcher\Launcher.xaml,Launcher.TrayIcon.Grayscale,TrayIcon.Grayscale.ico
