Term,Translate,Context,Reference,Comment
Base64⦙0,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5BUi54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=,Don't Touch,Locale.AR.xaml,Please don't touch the translation in this line.
Discord.Details,محرّك خلفيات الشاشة,,Discord\Discord.AR.xaml,
Discord.BrowseButton,استعراض,,Discord\Discord.AR.xaml,
Discord.DownloadButton,تنزيل,,Discord\Discord.AR.xaml,
PASS⦙0,PASS⦙0,Don't Touch,Discord\Discord.AR.xaml,Please don't touch the translation in this line.
Discord.LargestText0,قوّة آيس كريم الموز,,Discord\Discord.AR.xaml,
Discord.LargestText1,وحش القبّعة المبتسم,,Discord\Discord.AR.xaml,
Discord.LargestText2,عصافير تلوّن الغيوم,,Discord\Discord.AR.xaml,
Discord.LargestText3,المغامرات السرّية للبطاريق الراكضة,,Discord\Discord.AR.xaml,
Discord.LargestText4,أرانب تائهة في حقل الأقحوان,,Discord\Discord.AR.xaml,
Discord.LargestText5,طواحين الهواء المغنّية,,Discord\Discord.AR.xaml,
Discord.LargestText6,نحل الغابة الغامضة المحيّر,,Discord\Discord.AR.xaml,
Discord.LargestText7,سرب أسماك حالم,,Discord\Discord.AR.xaml,
Discord.LargestText8,رقصة تنّين بعيون من بلّور,,Discord\Discord.AR.xaml,
Discord.LargestText9,درب الحكايات المغطّى بالأزهار,,Discord\Discord.AR.xaml,
Discord.LargestText10,نجوم تتساقط من السماء,,Discord\Discord.AR.xaml,
Discord.LargestText11,رقصة في ضوء القمر المكسور,,Discord\Discord.AR.xaml,
Discord.LargestText12,تنانين قوس قزح الغامضة,,Discord\Discord.AR.xaml,
Discord.LargestText13,حكاية الغابة السحرية,,Discord\Discord.AR.xaml,
Discord.LargestText14,زخّة أزهار نحو السماء,,Discord\Discord.AR.xaml,
Discord.LargestText15,لمسة الزمن الصامتة,,Discord\Discord.AR.xaml,
Discord.LargestText16,أرض الأحلام السوريالية,,Discord\Discord.AR.xaml,
Discord.LargestText17,أغاني الشلّال الذهبي,,Discord\Discord.AR.xaml,
Discord.LargestText18,سفن الحكايات الطائرة نحو السماء,,Discord\Discord.AR.xaml,
Discord.LargestText19,غابة البالونات الملوّنة,,Discord\Discord.AR.xaml,
Discord.LargestText20,مدينة غامضة تحت الماء,,Discord\Discord.AR.xaml,
Discord.LargestText21,سماء مليئة بغبار النجوم,,Discord\Discord.AR.xaml,
Discord.LargestText22,رياح تطارد المجهول,,Discord\Discord.AR.xaml,
Discord.LargestText23,حكايات آسرة تحت ضوء القمر,,Discord\Discord.AR.xaml,
PASS⦙1,PASS⦙1,Don't Touch,Discord\Discord.AR.xaml,Please don't touch the translation in this line.
Discord.SmallestText0,آثار أقدام غامضة,,Discord\Discord.AR.xaml,
Discord.SmallestText1,أسماك البالون الطائرة,,Discord\Discord.AR.xaml,
Discord.SmallestText2,أزهار ضاحكة,,Discord\Discord.AR.xaml,
Discord.SmallestText3,غيوم غزل البنات,,Discord\Discord.AR.xaml,
Discord.SmallestText4,تنانين البيتزا المجمّدة,,Discord\Discord.AR.xaml,
Discord.SmallestText5,قراصنة الفطر المتوهّج,,Discord\Discord.AR.xaml,
Discord.SmallestText6,آثار أقدام يونيكورن غير مرئية,,Discord\Discord.AR.xaml,
Discord.SmallestText7,غيوم غبار ملوّنة,,Discord\Discord.AR.xaml,
Discord.SmallestText8,فراشات البالون الذهبية,,Discord\Discord.AR.xaml,
Discord.SmallestText9,رحلة عبر فوّهة السكّر,,Discord\Discord.AR.xaml,
Discord.SmallestText10,شرائح بيتزا منطلقة كالصواريخ,,Discord\Discord.AR.xaml,
Discord.SmallestText11,أصداف ترقص مع الشمس,,Discord\Discord.AR.xaml,
Discord.SmallestText12,أصابع نجوم غير مرئية,,Discord\Discord.AR.xaml,
Discord.SmallestText13,رقصة ضبابية تحت الماء,,Discord\Discord.AR.xaml,
Discord.SmallestText14,هجرات طيور قوس قزح,,Discord\Discord.AR.xaml,
Discord.SmallestText15,درب عاصفة السكّر,,Discord\Discord.AR.xaml,
Discord.SmallestText16,مجرّة من البيتزا اللامتناهية,,Discord\Discord.AR.xaml,
Discord.SmallestText17,ابتسامة الشمس,,Discord\Discord.AR.xaml,
Discord.SmallestText18,الضحكة المفقودة للبركة الخفية,,Discord\Discord.AR.xaml,
Discord.SmallestText19,ظلّ طيور الأحلام,,Discord\Discord.AR.xaml,
Discord.SmallestText20,فراشات تحلّق نحو السماء,,Discord\Discord.AR.xaml,
Discord.SmallestText21,أغانٍ مخبّأة خلف النجوم,,Discord\Discord.AR.xaml,
Discord.SmallestText22,جبال الحكاية الضبابية,,Discord\Discord.AR.xaml,
Discord.SmallestText23,جنّيّة الغابة المسحورة,,Discord\Discord.AR.xaml,
PASS⦙2,PASS⦙2,Don't Touch,Discord\Discord.AR.xaml,Please don't touch the translation in this line.
Discord.StatementText0,كون مليء بالفوضى,,Discord\Discord.AR.xaml,
Discord.StatementText1,في خضمّ مغامرات لا تنتهي,,Discord\Discord.AR.xaml,
Discord.StatementText2,عالم غريب وساحر,,Discord\Discord.AR.xaml,
Discord.StatementText3,تحدٍّ لحدود الخيال,,Discord\Discord.AR.xaml,
Discord.StatementText4,واقع استثنائي,,Discord\Discord.AR.xaml,
Discord.StatementText5,في أعماق الخيال,,Discord\Discord.AR.xaml,
Discord.StatementText6,رحلة اكتشاف سحرية,,Discord\Discord.AR.xaml,
Discord.StatementText7,على عتبة عوالم مجهولة,,Discord\Discord.AR.xaml,
Discord.StatementText8,في عالم أحلام معقّد,,Discord\Discord.AR.xaml,
Discord.StatementText9,مغامرة تتخطّى الحدود,,Discord\Discord.AR.xaml,
Discord.StatementText10,تجربة ديناميكية ومدهشة,,Discord\Discord.AR.xaml,
Discord.StatementText11,داخل حكاية خيالية,,Discord\Discord.AR.xaml,
Discord.StatementText12,بين بوّابات سحرية,,Discord\Discord.AR.xaml,
Discord.StatementText13,رحلة إلى سماء الليل,,Discord\Discord.AR.xaml,
Discord.StatementText14,على خطى القارّة المفقودة,,Discord\Discord.AR.xaml,
Discord.StatementText15,حكاية كواكب مجهولة,,Discord\Discord.AR.xaml,
Discord.StatementText16,اكتشاف الأكوان الموازية,,Discord\Discord.AR.xaml,
Discord.StatementText17,مدخل العوالم الأسطورية,,Discord\Discord.AR.xaml,
Discord.StatementText18,واقع منسوج بنسيج الأحلام,,Discord\Discord.AR.xaml,
Discord.StatementText19,حلم بين النجوم,,Discord\Discord.AR.xaml,
Discord.StatementText20,خلف أبواب الزمن,,Discord\Discord.AR.xaml,
Discord.StatementText21,فريق النجوم المتلألئ,,Discord\Discord.AR.xaml,
Discord.StatementText22,صرخة المجهول الصامتة,,Discord\Discord.AR.xaml,
Discord.StatementText23,عالم آسِر,,Discord\Discord.AR.xaml,
Discord.StatementText24,على قمّة الجبال الصوفية,,Discord\Discord.AR.xaml,
Discord.StatementText25,على خطى الممالك المفقودة,,Discord\Discord.AR.xaml,
Discord.StatementText26,رحلة حلم بين النجوم,,Discord\Discord.AR.xaml,
Discord.StatementText27,مخلوقات الليل السحرية,,Discord\Discord.AR.xaml,
Discord.StatementText28,بداية حكاية لا تنتهي,,Discord\Discord.AR.xaml,
Discord.StatementText29,بالونات ملوّنة تحلّق نحو السماء,,Discord\Discord.AR.xaml,
Discord.StatementText30,سماء الليل الغامضة,,Discord\Discord.AR.xaml,
Discord.StatementText31,مملكة مفقودة على درب الأحلام,,Discord\Discord.AR.xaml,
Discord.StatementText32,بوّابة إلى عوالم مجهولة,,Discord\Discord.AR.xaml,
Discord.StatementText33,رقصة في حضن الزمن,,Discord\Discord.AR.xaml,
Discord.StatementText34,حكايات مدفونة في الليل,,Discord\Discord.AR.xaml,
Discord.StatementText35,عالم المرآة السحري,,Discord\Discord.AR.xaml,
Discord.StatementText36,رحلة عند بوّابات اللانهاية,,Discord\Discord.AR.xaml,
Discord.StatementText37,رحلة ليلية لصيّاد الأحلام,,Discord\Discord.AR.xaml,
Discord.StatementText38,حلم المدينة البلّورية,,Discord\Discord.AR.xaml,
Discord.StatementText39,نجوم تتلألأ في الظلام,,Discord\Discord.AR.xaml,
Discord.StatementText40,ليلة سحرية خلف النجوم,,Discord\Discord.AR.xaml,
Discord.StatementText41,حكايات ضوء القمر الغامضة,,Discord\Discord.AR.xaml,
Discord.StatementText42,على عتبة عوالم مجهولة عبر البوّابة الذهبية,,Discord\Discord.AR.xaml,
Discord.StatementText43,الدروب الغامضة لليلة السحرية,,Discord\Discord.AR.xaml,
Discord.StatementText44,بالونات الأحلام تحلّق نحو السماء,,Discord\Discord.AR.xaml,
Discord.StatementText45,درب الأحلام تحت النجوم,,Discord\Discord.AR.xaml,
Discord.StatementText46,عالم خفيّ في البلدة على ساحل النجوم,,Discord\Discord.AR.xaml,
Discord.StatementText47,حكاية خلف الجبل الضبابي,,Discord\Discord.AR.xaml,
Discord.StatementText48,ليلة مرصّعة بالنجوم تتلألأ في الظلام,,Discord\Discord.AR.xaml,
Launcher.WallCustomizeText,تخصيص خلفية الشاشة,,Launcher\Launcher.AR.xaml,
PASS⦙3,PASS⦙3,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.CreateLogText,إنشاء ملف السجلّ,,Launcher\Launcher.AR.xaml,
PASS⦙4,PASS⦙4,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.CloseText,إغلاق التطبيقات,,Launcher\Launcher.AR.xaml,
PASS⦙5,PASS⦙5,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.ExitText,خروج,,Launcher\Launcher.AR.xaml,
PASS⦙6,PASS⦙6,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.OpenReportText,الإبلاغ عن مشكلة,,Launcher\Launcher.AR.xaml,
PASS⦙7,PASS⦙7,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.OpenText,فتح Sucrose,,Launcher\Launcher.AR.xaml,
PASS⦙8,PASS⦙8,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.ReportText,الإبلاغ عن مشكلة,,Launcher\Launcher.AR.xaml,
PASS⦙9,PASS⦙9,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.ReportWindowTitle,تشخيصات Sucrose,,Launcher\Launcher.AR.xaml,
PASS⦙10,PASS⦙10,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.SaveDialogTitle,حفظ ملف السجلّ,,Launcher\Launcher.AR.xaml,
Launcher.SaveDialogFilter,ملفّات ZIP (*.zip)|*.zip|كل الملفّات (*.*)|*.*,,Launcher\Launcher.AR.xaml,
PASS⦙11,PASS⦙11,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.FeedbackText,إرسال الملاحظات,,Launcher\Launcher.AR.xaml,
Launcher.RequestFeedbackText,الطلبات والملاحظات,,Launcher\Launcher.AR.xaml,
PASS⦙12,PASS⦙12,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.SettingText,الإعدادات,,Launcher\Launcher.AR.xaml,
PASS⦙13,PASS⦙13,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.TrayText,Sucrose Wallpaper Engine,,Launcher\Launcher.AR.xaml,
