Term,Translate,Context,Reference,Comment
Base64⦙0,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkhFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5IRS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkhFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5IRS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=,Don't Touch,Locale.HE.xaml,Please don't touch the translation in this line.
Discord.Details,מנוע טפטים,,Discord\Discord.HE.xaml,
Discord.BrowseButton,לְדַפדֵף,,Discord\Discord.HE.xaml,
Discord.DownloadButton,הורד,,Discord\Discord.HE.xaml,
PASS⦙0,PASS⦙0,Don't Touch,Discord\Discord.HE.xaml,Please don't touch the translation in this line.
Discord.LargestText0,כוח גלידת בננה,,Discord\Discord.HE.xaml,
Discord.LargestText1,מפלצת כובע מחייך,,Discord\Discord.HE.xaml,
Discord.LargestText2,דרורים צובעים את העננים,,Discord\Discord.HE.xaml,
Discord.LargestText3,ההרפתקאות הסודיות של פינגווינים רצים,,Discord\Discord.HE.xaml,
Discord.LargestText4,ארנבים אבודים בשדה דייזי,,Discord\Discord.HE.xaml,
Discord.LargestText5,שרים שבבי רוח,,Discord\Discord.HE.xaml,
Discord.LargestText6,דבורים מסתוריות של היער המסתורי,,Discord\Discord.HE.xaml,
Discord.LargestText7,בית ספר לדגים חלומיים,,Discord\Discord.HE.xaml,
Discord.LargestText8,ריקוד הדרקון קריסטל עיניים,,Discord\Discord.HE.xaml,
Discord.LargestText9,שביל אגדות מכוסה פרחים,,Discord\Discord.HE.xaml,
Discord.LargestText10,כוכבים נופלים מהשמיים,,Discord\Discord.HE.xaml,
Discord.LargestText11,רוקדת באור הירח השבור,,Discord\Discord.HE.xaml,
Discord.LargestText12,דרקוני קשת מסתוריים,,Discord\Discord.HE.xaml,
Discord.LargestText13,סיפור היער הקסום,,Discord\Discord.HE.xaml,
Discord.LargestText14,גשם פרחים בשמיים,,Discord\Discord.HE.xaml,
Discord.LargestText15,המגע השקט של הזמן,,Discord\Discord.HE.xaml,
Discord.LargestText16,ארץ החלומות הסוריאליסטיים,,Discord\Discord.HE.xaml,
Discord.LargestText17,שירי מפל הזהב,,Discord\Discord.HE.xaml,
Discord.LargestText18,ספינות אגדה צפות אל השמיים,,Discord\Discord.HE.xaml,
Discord.LargestText19,יער עם בלונים צבעוניים,,Discord\Discord.HE.xaml,
Discord.LargestText20,עיר תת-ימית מסתורית,,Discord\Discord.HE.xaml,
Discord.LargestText21,Star Dusty Sky,,Discord\Discord.HE.xaml,
Discord.LargestText22,רוחות רודפות אחרי הלא נודע,,Discord\Discord.HE.xaml,
Discord.LargestText23,סיפורים סוחפים תחת אור הירח,,Discord\Discord.HE.xaml,
PASS⦙1,PASS⦙1,Don't Touch,Discord\Discord.HE.xaml,Please don't touch the translation in this line.
Discord.SmallestText0,עקבות מסתוריות,,Discord\Discord.HE.xaml,
Discord.SmallestText1,דג בלון מעופף,,Discord\Discord.HE.xaml,
Discord.SmallestText2,פרחים צוחקים,,Discord\Discord.HE.xaml,
Discord.SmallestText3,ענני כותנה מסוכרים,,Discord\Discord.HE.xaml,
Discord.SmallestText4,דרקוני פיצה קפואים,,Discord\Discord.HE.xaml,
Discord.SmallestText5,שודדי פטריות נוצצות,,Discord\Discord.HE.xaml,
Discord.SmallestText6,טביעת רגל חד קרן בלתי נראית,,Discord\Discord.HE.xaml,
Discord.SmallestText7,ענני אבק צבעוניים,,Discord\Discord.HE.xaml,
Discord.SmallestText8,פרפרי בלון זהב,,Discord\Discord.HE.xaml,
Discord.SmallestText9,מסע מכתש סוכר,,Discord\Discord.HE.xaml,
Discord.SmallestText10,פרוסות פיצה מעופפות רקטות,,Discord\Discord.HE.xaml,
Discord.SmallestText11,צדפים רוקדים עם השמש,,Discord\Discord.HE.xaml,
Discord.SmallestText12,אצבעות כוכב בלתי נראות,,Discord\Discord.HE.xaml,
Discord.SmallestText13,ריקוד צוללת מעורפל,,Discord\Discord.HE.xaml,
Discord.SmallestText14,נדידת ציפורי הקשת,,Discord\Discord.HE.xaml,
Discord.SmallestText15,דרך סטורם סוכריות,,Discord\Discord.HE.xaml,
Discord.SmallestText16,אינסוף פיצה גלקסי,,Discord\Discord.HE.xaml,
Discord.SmallestText17,חיוך של השמש,,Discord\Discord.HE.xaml,
Discord.SmallestText18,החיוך האבוד של הבריכה הנסתרת,,Discord\Discord.HE.xaml,
Discord.SmallestText19,צל הציפורים החולמים,,Discord\Discord.HE.xaml,
Discord.SmallestText20,פרפרים עולים לשמיים,,Discord\Discord.HE.xaml,
Discord.SmallestText21,שירים מוסתרים מאחורי הכוכבים,,Discord\Discord.HE.xaml,
Discord.SmallestText22,הרי הערפילים של האגדות,,Discord\Discord.HE.xaml,
Discord.SmallestText23,פיית היער המסתורי,,Discord\Discord.HE.xaml,
PASS⦙2,PASS⦙2,Don't Touch,Discord\Discord.HE.xaml,Please don't touch the translation in this line.
Discord.StatementText0,יקום מלא כאוס,,Discord\Discord.HE.xaml,
Discord.StatementText1,באמצע הרפתקאות אינסופיות,,Discord\Discord.HE.xaml,
Discord.StatementText2,עולם מוזר וקסום,,Discord\Discord.HE.xaml,
Discord.StatementText3,דוחף את גבולות הדמיון,,Discord\Discord.HE.xaml,
Discord.StatementText4,מציאות יוצאת דופן,,Discord\Discord.HE.xaml,
Discord.StatementText5,עמוק בדמיונך,,Discord\Discord.HE.xaml,
Discord.StatementText6,מסע גילוי קסום,,Discord\Discord.HE.xaml,
Discord.StatementText7,בשער הממלכות הלא ידועות,,Discord\Discord.HE.xaml,
Discord.StatementText8,עולם חלומות מורכב,,Discord\Discord.HE.xaml,
Discord.StatementText9,הרפתקה שפורצת את הגבולות,,Discord\Discord.HE.xaml,
Discord.StatementText10,חוויה דינמית ומפתיעה,,Discord\Discord.HE.xaml,
Discord.StatementText11,בתוך אגדה פנטסטית,,Discord\Discord.HE.xaml,
Discord.StatementText12,בין הפורטלים הקסומים,,Discord\Discord.HE.xaml,
Discord.StatementText13,מסע לשמי הלילה,,Discord\Discord.HE.xaml,
Discord.StatementText14,בחיפוש אחר היבשת האבודה שלו,,Discord\Discord.HE.xaml,
Discord.StatementText15,סיפורם של כוכבי לכת לא ידועים,,Discord\Discord.HE.xaml,
Discord.StatementText16,גילוי יקומים מקבילים,,Discord\Discord.HE.xaml,
Discord.StatementText17,כניסה לממלכות האגדות,,Discord\Discord.HE.xaml,
Discord.StatementText18,מציאות ארוגה במרקם החלומות,,Discord\Discord.HE.xaml,
Discord.StatementText19,חלום בין כוכבים,,Discord\Discord.HE.xaml,
Discord.StatementText20,מאחורי שערי הזמן,,Discord\Discord.HE.xaml,
Discord.StatementText21,צוות כוכבים זוהרים,,Discord\Discord.HE.xaml,
Discord.StatementText22,הצעקה השקטה של ​​הלא נודע,,Discord\Discord.HE.xaml,
Discord.StatementText23,עולם סוחף,,Discord\Discord.HE.xaml,
Discord.StatementText24,בראש ההרים המיסטיים,,Discord\Discord.HE.xaml,
Discord.StatementText25,בחיפוש אחר ממלכות אבודות,,Discord\Discord.HE.xaml,
Discord.StatementText26,מסע חלומות בין כוכבי,,Discord\Discord.HE.xaml,
Discord.StatementText27,יצורי לילה קסומים,,Discord\Discord.HE.xaml,
Discord.StatementText28,תחילתה של האגדה האינסופית,,Discord\Discord.HE.xaml,
Discord.StatementText29,בלונים צבעוניים עולים לשמיים,,Discord\Discord.HE.xaml,
Discord.StatementText30,שמי לילה מסתוריים,,Discord\Discord.HE.xaml,
Discord.StatementText31,נתיב החלומות הממלכה האבודה,,Discord\Discord.HE.xaml,
Discord.StatementText32,הדלת לממלכות לא ידועות,,Discord\Discord.HE.xaml,
Discord.StatementText33,רוקדים בחיק הזמן,,Discord\Discord.HE.xaml,
Discord.StatementText34,סיפורים קבורים בלילה,,Discord\Discord.HE.xaml,
Discord.StatementText35,עולם מראה קסום,,Discord\Discord.HE.xaml,
Discord.StatementText36,מסע בשערי הנצח,,Discord\Discord.HE.xaml,
Discord.StatementText37,מסע לילי לוכד החלומות,,Discord\Discord.HE.xaml,
Discord.StatementText38,חלום עיר קריסטל,,Discord\Discord.HE.xaml,
Discord.StatementText39,כוכבים זורחים בחושך,,Discord\Discord.HE.xaml,
Discord.StatementText40,לילה מסתורי מאחורי הכוכבים,,Discord\Discord.HE.xaml,
Discord.StatementText41,סיפורי אור ירח מסתוריים,,Discord\Discord.HE.xaml,
Discord.StatementText42,שער הזהב נמצא על סף ארצות לא ידועות,,Discord\Discord.HE.xaml,
Discord.StatementText43,הדרכים המסתוריות של הלילה הקסום,,Discord\Discord.HE.xaml,
Discord.StatementText44,בלוני חלומות עולים לשמיים,,Discord\Discord.HE.xaml,
Discord.StatementText45,שביל חלומות מתחת לכוכבים,,Discord\Discord.HE.xaml,
Discord.StatementText46,Hidden World Star Coast Town,,Discord\Discord.HE.xaml,
Discord.StatementText47,הסיפור מאחורי ההר הערפילי,,Discord\Discord.HE.xaml,
Discord.StatementText48,לילה כוכבים זורח בחושך,,Discord\Discord.HE.xaml,
Launcher.WallCustomizeText,התאמה אישית של טפט,,Launcher\Launcher.HE.xaml,
PASS⦙3,PASS⦙3,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.CreateLogText,צור קובץ יומן,,Launcher\Launcher.HE.xaml,
PASS⦙4,PASS⦙4,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.CloseText,סגור אפליקציות,,Launcher\Launcher.HE.xaml,
PASS⦙5,PASS⦙5,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
