Term,Translate,Context,Reference,Comment
Launcher.ExitIcon,Exit.ico,,Launcher\Launcher.xaml,
Launcher.FeedbackIcon,Sent.ico,,Launcher\Launcher.xaml,
Launcher.TrayIcon,TrayIcon.ico,,Launcher\Launcher.xaml,
Launcher.UpdateIcon,Reload.ico,,Launcher\Launcher.xaml,
Launcher.ReportIcon,TestTube.ico,,Launcher\Launcher.xaml,
Launcher.WallReloadIcon,Fire.ico,,Launcher\Launcher.xaml,
Launcher.WallOpenIcon,LightOn.ico,,Launcher\Launcher.xaml,
Launcher.WallChangeIcon,Change.ico,,Launcher\Launcher.xaml,
Launcher.WallCloseIcon,LightOff.ico,,Launcher\Launcher.xaml,
Launcher.SettingIcon,Engineering.ico,,Launcher\Launcher.xaml,
Launcher.OpenIcon,DashboardLayout.ico,,Launcher\Launcher.xaml,
Launcher.WallCustomizeIcon,ColorPalette.ico,,Launcher\Launcher.xaml,
