Hash,File,Key,Value
e85986c4bb70f1bfecb38150a6e7a42537ee6193ba3ae104f0d7984ded087713,Portal\Portal.xaml,Portal.Release,Pre-Release
6676881f99533e047446486d916452a6690564e507efdf13ebdc8f07ed6d8045,Portal\Portal.xaml,Portal.Copyright,Sucrose is copyright © 2026 Sucrose Contributors
8b12c7b54ad38dbad41563583916a30769c1f7fa6212783fff9d784d919eb00b,Portal\Portal.xaml,,
99108a5c5ebc8d6e8c36b6439dcb503a8530737dec63729c71f8d09c7eabe3d2,Portal\Portal.xaml,Portal.Quoting0,Love conquers all
fee3930ac08a60b9338ddada81757a7c3bc8253ec103271ba69f12adaf953d9f,Portal\Portal.xaml,Portal.Quoting1,La vida es bella
4093fa37dfd02ed5f7664fa3bfcc142f6c707786997a8996060af54d2e855edb,Portal\Portal.xaml,Portal.Quoting2,Carpe diem
875e008ec38a9539293396812288cc52a366fcc68b106fd0743df634b1d4d8c0,Portal\Portal.xaml,Portal.Quoting3,Hakuna matata
d92e8f7a68c87c460877802e3728e8326137da9d3ee60501421c66cfd8049c17,Portal\Portal.xaml,Portal.Quoting4,Joie de vivre
927f61d16ec8c63964a7bc800e00ec3d2d3e04f975584580d35a7c60065c9c55,Portal\Portal.xaml,Portal.Quoting5,C'est la vie
fc8b3c6c83a67b9e6ba06397550aba2e565089125b7cf14797aa919e26f430c9,Portal\Portal.xaml,Portal.Quoting6,Hasta la vista
6f0923d42c674ae809cf5aadf823cfa652ec0aedb5e549e6a31ac32a76f48e36,Portal\Portal.xaml,Portal.Quoting7,In vino veritas
72151043de4c8450a19bbf824064ae72bdf96eb4d9377f9ceb986b8f84712764,Portal\Portal.xaml,Portal.Quoting8,Hakuna mawazo
98fde34aebe9ed3f9db0e1af7d4b98fb65b3a9c2ab22e4ab40099dfdb55c71d3,Portal\Portal.xaml,Portal.Quoting9,Seishin to nihon
e9f9d0f8b3877fddac3d3e1c444354835598c8b4824ea4f43d8a2eef80cbfdfa,Portal\Portal.xaml,Portal.Quoting10,Per aspera ad astra
96f3ab23d96b5a191d3e2a272eb3d3511f73242926bc2539382d8faebfe07fbb,Portal\Portal.xaml,Portal.Quoting11,Amor vincit omnia
2906472c3055487c3c90c79f0a1acccccb1ebcb955a27aca233bb23b1dd1b0f1,Portal\Portal.xaml,Portal.Quoting12,Carpe noctem
8f7af48d65113655ca3fde614f379de0384e01bc5fe2fe325b2689e9e7d21201,Portal\Portal.xaml,Portal.Quoting13,L'esprit de l'escalier
a2c586d39d07ddcbddb558c5c71e1be85c964146ec1fec0a18085b7acb897af0,Portal\Portal.xaml,Portal.Quoting14,Schadenfreude
7f9462b6c45e051622c532ff9308b95f5bf6dd2d6068361bbaa8848e8c44e821,Portal\Portal.xaml,Portal.Quoting15,Vivo ergo sum
dc918beff272dcdfbba95d5ff1288b3d4d1ea3fcfe948aa84f3d7cf224088274,Portal\Portal.xaml,Portal.Quoting16,Il dolce far niente
fab02dbe6c54cb4482a9336174d2429dcea6785cb98fa1eee57d95b072eb35c5,Portal\Portal.xaml,Portal.Quoting17,Sisu
6f140654f7db7580bc71907d664ef2dc38f09bc0ce12072916b6ff6b9ce0c9b1,Portal\Portal.xaml,Portal.Quoting18,Saudade
f1a6d4bbfb916b30951a62bd47af6824fd22c0175c5b4061103ed2ccdb5df562,Portal\Portal.xaml,Portal.Quoting19,Namaste
b83456cfbb7ee8355371c523de6a67d9cc5c464df5280d69cec69158e0f96b58,Portal\Portal.xaml,Portal.Quoting20,"Que sera, sera"
d47c8c199ddadb5351a7231674de29c660c2e446dc80ffc8e3e32992164da6a7,Portal\Portal.xaml,Portal.Quoting21,Eureka
b1982ff6fd13f8234f9f05256e8dc699b65417cdde84a299441f6a144248d36a,Portal\Portal.xaml,Portal.Quoting22,"Cogito, ergo sum"
676eb258bdfdc7035da853a3e29a79ba51029d67dc7e3c7fcd87b9beeb9b50d6,Portal\Portal.xaml,Portal.Quoting23,"Veni, vidi, vici"
5350ef300365f81e31d5b29d0fe689ba74ad439b20cc2a731c8247865548c28f,Portal\Portal.xaml,Portal.Quoting24,Hakuna matata
1d91946e3298438e5947fa7943284a0e908b0059b889d025d822c473e1e16244,Portal\Portal.xaml,Portal.Quoting25,Hasta la vista
e5c934816ad5c6a7a934add4438ee6d234f1df13f2da684cb9ad094bf624539b,Portal\Portal.xaml,Portal.Quoting26,Ad astra per aspera
5493bf2c26fed78a2d287ace153363222fdd7b60818d552dcdedb3d782fecc3c,Portal\Portal.xaml,Portal.Quoting27,Live and let live
b6e7c72f5cc6213144fdc83b769644ee86c819c1744cdcfdff0b16b4a8a0dde7,Portal\Portal.xaml,Portal.Quoting28,Carpe noctem
51222c5a3b888398376e080a29dac676cfbab89c8e69815ca1610f4751f7052d,Portal\Portal.xaml,Portal.Quoting29,In omnia paratus
2debfcc8c7a741d65820bac3463b99d3fd4b24498c66788b5edf6819fd25ae62,Portal\Portal.xaml,Portal.Quoting30,"Söz gümüşse, sükût altındır"
e8c013c3d1ddad15020e8b7dd07299050f204804e4160bbfbcd42faff91a28f1,Portal\Portal.xaml,Portal.Quoting31,Damlaya damlaya göl olur
190f70bba5047f64ccde5b3a6b7a4f8e458ffb4937077b5198b57ee5e401ab8d,Portal\Portal.xaml,Portal.Quoting32,"Sakla samanı, gelir zamanı"
ae76f58bb36e53e2571f4bc00e0aad7da2aa92936a1d637f80c07d7955f8ad8d,Portal\Portal.xaml,Portal.Quoting33,Görünen köy kılavuz istemez
9ac642d49353a3c40045089a19f44fd244048cfd01acabf4490612fe25799798,Portal\Portal.xaml,Portal.Quoting34,Kulak veren göz arar
5cc39441bad8c0e85472178a975dd3aa480da40afb4ef79496968836b32269e3,Portal\Portal.xaml,Portal.Quoting35,Sabrın sonu selamettir
60b768a2afae6886478d9299d6bd0282660fedac02daf14a9be96d24de9c5993,Portal\Portal.xaml,Portal.Quoting36,İstikbal göklerdedir
66f99e48f6dcb7bb35c34a7e2a9e0c9ddf8f9b41755ce5520fd46335ff2d17d2,Portal\Portal.xaml,Portal.Quoting37,Hiçbir şey insan kadar değerli değildir
48b78dc52df498030473e5288b13787e71b66bec1a9620bbc2ace8524e9692fa,Portal\Portal.xaml,Portal.Quoting38,Hayatta en hakiki mürşit ilimdir
9ab48738ddd819da9a2df3126d8fc83e9db5b6f5ca2ba83bc28308f743405ef5,Portal\Portal.xaml,Portal.Quoting39,"Yurtta sulh, cihanda sulh"
f279598a49f419896da5621f3a25174ef5db34ad2326febd32c1079538942469,Portal\Portal.xaml,Portal.Quoting40,"Where there's a will, there's a way"
632421004041fff0e546e2338d71400d2df5841c19e38ab213c7799da5e9cdb6,Portal\Portal.xaml,Portal.Quoting41,Actions speak louder than words
f2247f99284f36c3827cefe7a8e1b7c93f4e8cf87acfb48a75fd4cd5d1e93b8e,Portal\Portal.xaml,Portal.Quoting42,L'art de vivre
f3045d29ef42350c6568f03932ffa753ddc6833dc286d77b846a73ba855d5241,Portal\Portal.xaml,Portal.Quoting43,La vida es un sueño
a408d84099c30e2e62154a58c64c398c5d3d8562ddc484f0f8b2221906c33b0a,Portal\Portal.xaml,Portal.Quoting44,木漏れ日
0d9a21e0fd02eacfaea110a86cab6961c0be4f6bca2625413e2fc87ed4595794,Portal\Portal.xaml,Portal.Quoting45,Gemütlichkeit
1d7db5627613ffd6c60b66e9bf83887f6feaa749219fda4af01234b0ef2e2c96,Portal\Portal.xaml,Portal.Quoting46,Fingerspitzengefühl
1e1aacd8b332a7659c08f9f2079b350e2d9a0eae1a4c968e7eee43288156024c,Portal\Portal.xaml,Portal.Quoting47,"Dove c'è amore, c'è vita"
81d7fa3de2a72aace3b9bff5ff3f572805893bcb4008c99ffc30291d578debc0,Portal\Portal.xaml,Portal.Quoting48,Терпение и труд всё перетрут
407e88fcd21860e7666ccdc49951c910e91d596de8d12ceacc086a445bb96379,Portal\Portal.xaml,Portal.Quoting49,千里之行，始于足下
da71855edb521023d175338020f38892b2712cdd81050122e56aed43273380e9,Portal\Portal.xaml,Portal.Quoting50,Γνώσις είναι δύναμη
8e05f38f68b4a3d89176a24658527757e53a8ff0ede9f8b42e803ad390145224,Portal\Portal.xaml,Portal.Quoting51,Η γνώση είναι φως
b1b309e0ca8015a93c17fe8fe3f90ae3a537e37b491df94cccb6a982739cc4b7,Portal\Portal.xaml,Portal.Quoting52,Η ελπίδα πεθαίνει τελευταία
ae8ad4c5e3db76d8322bfb1b9944ba26e5a3e005e55b8c3bc03d3b9f39faa2cf,Portal\Portal.xaml,Portal.Quoting53,Probieren geht über Studieren
0e7533a4969d5d9866619a5345df2a64a3320d8eb62e760006fb2b922d448780,Portal\Portal.xaml,Portal.Quoting54,Freiheit ist das höchste Gut
becae34957784228ec30ac69d7d2e434f6ae580f687829d3f22a0a4caa95464d,Portal\Portal.xaml,Portal.Quoting55,吃一堑，长一智
79ebfb80620fe4090f4a4b36eac36652a27be2740f11a08d84d61e7ad0e837bf,Portal\Portal.xaml,Portal.Quoting56,Aller Anfang ist schwer
ff08c90702f8843698260be3ceb9bf60da913af2d62b308f2b83031faf1326f0,Portal\Portal.xaml,Portal.Quoting57,七転び八起き
60c1fdf5f33f0f3ee538606ae3f451931ff90589d3721ffeff2b68a98c40ee80,Portal\Portal.xaml,Portal.Quoting58,一寸光阴一寸金，寸金难买寸光阴
5e5bfca6ef344ef3b2558ad7a73b2529778b0939f9d10de43e718daae17982f4,Portal\Portal.xaml,Portal.Quoting59,Gu brath
a92726c382ec90ea1c88fe2a27548ebf3f56b9ef2e14e59da7bc33520cdd1152,Portal\Portal.xaml,Portal.Quoting60,"Man skal kravle, før man går"
9ed9d68ea7826f73a24da2b6f6d3b2f296763c6ea147dd924935e75ae53075b2,Portal\Portal.xaml,Portal.Quoting61,Ní neart go cur le chéile
3501314e8660c95e2c1564534caf195a71faa3b6d978ce8501d45ef6ef37dadf,Portal\Portal.xaml,Portal.Quoting62,Lumturia nis me uen tande
69d910abe5f956d0f8204aaf89fc3fe37d5a948f67edbc13adfea8c849d30b22,Portal\Portal.xaml,Portal.Quoting63,Þetta reddast
43201971b389b24ca1c8d23fbb6de64885ff9d3e67dfd961555b37f1886c27c6,Portal\Portal.xaml,Portal.Quoting64,Gleði er ekki að drepa
562b771ffe47c59f0339985cdd35f10d92a432fe2501fc361096df66cce8184a,Portal\Portal.xaml,Portal.Quoting65,Een goed begin is het halve werk
750ecfa6d5f8d3622599bddfa3fc2e9374811c6e8488c72efa72bc0b86be55ce,Portal\Portal.xaml,Portal.Quoting66,"Chi trova un amico, trova un tesoro"
72c0acd98520e84a3ab46b37b6528faa8b9c0735c98ecc68a32e821b1c00f85e,Portal\Portal.xaml,Portal.Quoting67,Meglio tardi che mai
427a06c1461a5c531734d8d789f89a4b4ff965818ffc475c76d0a8a2072bc8b2,Portal\Portal.xaml,Portal.Quoting68,"Quem não arrisca, não petisca"
1966bd2930e742eebff611bbb60356f26965e90fd9cfd6198d8341aa159d2fb1,Portal\Portal.xaml,Portal.Quoting69,Águas passadas não movem moinhos
abea0237997d8740a0154960efb27d6dfcd689e12b64d36bc5a589508b092555,Portal\Portal.xaml,Portal.Quoting70,Morgenstund hat Gold im Mund
dd9b3d03e65256d52a8c73025c72b31490f9398cfd37c7e03ae2ffdbe1addff3,Portal\Portal.xaml,Portal.Quoting71,不怕慢，就怕站
e76f6f6535ef7e84174bccd54f3622c1550e123f555bc47d78caf871f4766e2e,Portal\Portal.xaml,Portal.Quoting72,一寸の虫にも五分の魂
b5918d27ab25410b38f6d0f318b61b1a771aa9bf5b5e870bf78a43861cc759dd,Portal\Portal.xaml,Portal.Quoting73,"Bir elin nesi var, iki elin sesi var"
e3127083cb4edcb79b0053d8fe4f49f76122a5b0cc72133f33a721da1f7d9567,Portal\Portal.xaml,Portal.Quoting74,Tout vient à point à qui sait attendre
28a264cf146ba3803bbe6436107b8831a6e7bc5b9934e99292ad5d808b99e48c,Portal\Portal.xaml,Portal.Quoting75,Every cloud has a silver lining
53ce83d85d133e22ea524990034d154510df31949f4a882394ffc49442fdc221,Portal\Portal.xaml,Portal.Quoting76,"A mal tiempo, buena cara"
8fc75abaf13fddc9b176f36c42749565d0c1d4110009ab06fe95869e2deca7f4,Portal\Portal.xaml,Portal.Quoting77,La dolce vita
5615d918b7f43f1a103935a148e9482be4540e625c6f97c7cb4addb5adb94601,Portal\Portal.xaml,Portal.Quoting78,"Век живи, век учись"
0b19ca5e6d3574cf72c6d49c219aba88223a0df09cb4a8a630171256a11134fb,Portal\Portal.xaml,Portal.Quoting79,Повторенье - мать ученья
5aba5ebf5aa8fee5f9d1a02f667051c7a5efe873070ecdecb0d2fea55d1550e4,Portal\Portal.xaml,Portal.Quoting80,"Wie niet waagt, wie niet wint"
55ef447ddba8c8501170764e54ed5ecdc4da9302a9e31a4ac06619369e11a515,Portal\Portal.xaml,Portal.Quoting81,Cicha woda brzegi rwie
b4a9ef66a92c7d568c9ea445babfe11e2cae7f2767febef0aaac30d43076a743,Portal\Portal.xaml,Portal.Quoting82,Dla chcącego nic trudnego
b082edd3c2b4aae9849a2a043c7af0a4e8609bd2150ef2d9afe9de5c7fc82380,Portal\Portal.xaml,Portal.Quoting83,Übung macht den Meister
8547b546117e320c4c1d77bdfb40f8201bd0853941215af30ba1e479e6e7dd3a,Portal\Portal.xaml,Portal.Quoting84,"Quem tudo quer, tudo perde"
ae8ac0a0e8679d0293af8d8d6839ccbbade54ebad4cdc88bc8f0a76c927bce2d,Portal\Portal.xaml,Portal.Quoting85,Бери с ума разумом
