Hash,File,Key,Value
6c88501abe9702da0ead4c3c5d0168102756223c860613c6ad5a2efd43cc4f08,Locale.RO.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLlJPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5STy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LlJPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5STy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
40f4189d6233cb921623ea25e8544a9eb450f504e2e48ef853509f579b94ab74,Discord\Discord.RO.xaml,Discord.Details,Motor de Fundal
36b36ead420c53a684cf5cfac39d66a8af02d5a026155919dd3e376038930821,Discord\Discord.RO.xaml,Discord.BrowseButton,Răsfoiește
405250e0a054342f6be174781852a7b2a9fd4d6d0886c86a230426347c86eb78,Discord\Discord.RO.xaml,Discord.DownloadButton,Descarcă
7b4033a329655834f0da43f952fa9c1165210caf9d5b0b61a7415095d80dcfbe,Discord\Discord.RO.xaml,,
1eaf214adb20a816032c6f60737e89b4829651f2e6c40c52f5de6dcd5b23adee,Discord\Discord.RO.xaml,Discord.LargestText0,Puterea Înghețatei de Banană
a45ac6e89c1c82cbed1e4df8e3028c46706d79300bfaba072b63b59d39827ef7,Discord\Discord.RO.xaml,Discord.LargestText1,Monstrul Zâmbitor cu Pălărie
83127a17b36a94dc55f1198b2ddb7d35b83a7ab7f332eb650f2e8eef41d7f510,Discord\Discord.RO.xaml,Discord.LargestText2,Privighetoarele Care Înnoadă Norii
7f2a238baca013503c6c2c329b5c656c5b6696a70b6584c03e757e966cffdf70,Discord\Discord.RO.xaml,Discord.LargestText3,Aventurile Secrete Ale Pinguinilor Cursă
37414d3768752e839a84102fce1fe8589301c352a66c243d05e94137728be417,Discord\Discord.RO.xaml,Discord.LargestText4,Iepurașii Pierduți în Câmpul de Margarete
